"ID","fur","Date","Location","Size","decimalLatitude","decimalLongitude","Sex","Season","Region","analysisLab","coordinatePrecision"
"X40.MD.090617",-34.36,"9/6/17","MD","",39.67725,-78.2291,"Male","Summer","","CASIF",1e-05
"X41.MD.092617",-15.15,"9/26/17","MD","",39.67725,-78.2291,"Male","Summer","","CASIF",1e-05
"X42.MD.091417",-21.19,"9/14/17","MD","",39.67725,-78.2291,"Male","Summer","","CASIF",1e-05
"X1.WV.080317",-36.51,"8/3/17","WV","",39.40023,-80.64725,"Female","Summer","","CASIF",1e-05
"X4.WV.080517",-29.74,"8/5/17","WV","",39.40044,-80.64819,"Female","Summer","","CASIF",1e-05
"X2.WV.080317",-35.72,"8/3/17","WV","",39.40023,-80.64725,"Male","Summer","","CASIF",1e-05
"X3.WV.080517",-15.1,"8/5/17","WV","",39.40044,-80.64819,"Male","Summer","","CASIF",1e-05
"X43.WV.090617",-23.4,"9/6/17","WV","",38.05529,-81.05529,"Male","Summer","","CASIF",1e-05
"X44.WV.090617",-14.82,"9/6/17","WV","",38.05529,-81.05529,"Male","Summer","","CASIF",1e-05
"X5.WB.080317",-19.8,"8/3/17","WV","",39.40017,-80.6466,"Male","Summer","","CASIF",1e-05
"X6.WV.081517",-12.52,"8/15/17","WV","",39.4436,-80.60569,"Male","Summer","","CASIF",1e-05
"LSU.11582",-26,"221-1966","AL","",34,-87.32,"Male","Summer","","UWO",0.01
"LSU.18632",-25,"235-1974","AL","",34.24,-87.2,"Male","Summer","","UWO",0.01
"LSU.11571",-11,"199-1966","AR","",33.49,-91.65,"Female","Summer","","UWO",0.01
"LSU.11574",-19,"198-1966","AR","",33.49,-92.29,"Female","Summer","","UWO",0.01
"LSU.11579",-6,"200-1966","AR","",33.36,-91.96,"Female","Summer","","UWO",0.01
"LSU.11570",-20,"203-1966","AR","",34.49,-93.63,"Male","Summer","","UWO",0.01
"LSU.11576",-31,"198-1966","AR","",33.49,-92.29,"Male","Summer","","UWO",0.01
"LSU.761",-14,"227-1935","AR","",34.52,-85.67,"Male","Summer","","UWO",0.01
"ROM.76294",-20,"186-1959","FL","",30.42,-84.47,"Female","Summer","","UWO",0.01
"MCZ.BANGS.5598",-23,"247-1894","FL","",28.52,-82.28,"Male","Summer","","UWO",0.01
"ROM.76295",-16,"205-1959","FL","",30.79,-85.17,"Male","Summer","","UWO",0.01
"ROM.45577",-38,"178-1965","IN","",31.12,-87.47,"Female","Summer","","UWO",0.01
"ROM.76296",-38,"248-1974","IN","",39.05,-86.82,"Female","Summer","","UWO",0.01
"ROM.76298",-34,"234-1974","IN","",38.25,-86.25,"Female","Summer","","UWO",0.01
"ROM.76304",-32,"234-1974","IN","",38.25,-86.25,"Female","Summer","","UWO",0.01
"ROM.76299",-35,"234-1974","IN","",38.25,-86.25,"Male","Summer","","UWO",0.01
"ROM.76300",-36,"248-1974","IN","",39.05,-86.82,"Male","Summer","","UWO",0.01
"ROM.76301",-32,"248-1974","IN","",39.05,-86.82,"Male","Summer","","UWO",0.01
"CU.881",-25,"196-1925","KY","",37.53,-83.32,"Female","Summer","","UWO",0.01
"LSU.10551",-30,"254-1965","LA","",32.54,-93.39,"Female","Summer","","UWO",0.01
"LSU.11595",-32,"194-1966","LA","",32.44,-92.19,"Female","Summer","","UWO",0.01
"LSU.11597",-22,"179-1966","LA","",31.26,-91.66,"Female","Summer","","UWO",0.01
"LSU.11598",-30,"281-1966","LA","",31.26,-91.66,"Female","Summer","","UWO",0.01
"LSU.11599",-12,"192-1966","LA","",30.41,-90.98,"Female","Summer","","UWO",0.01
"LSU.11600",-22,"228-1966","LA","",30.41,-90.98,"Female","Summer","","UWO",0.01
"LSU.25413",-33,"234-1981","LA","",31.49,-92.32,"Female","Summer","","UWO",0.01
"LSU.29877",-33,"279-1972","LA","",30.97,-91.86,"Female","Summer","","UWO",0.01
"LSU.3671",-14,"235-1949","LA","",30.77,-89.97,"Female","Summer","","UWO",0.01
"LSU.6776",-16,"259-1951","LA","",30.62,-91.23,"Female","Summer","","UWO",0.01
